Participant,Element,Tag,Reason,Timestamp,X,Y
P_27729,"A ("IPhone 17 PRO MAX")",A,photo,2026-02-01T20:30:09.351Z,220,4595
P_27729,"A ("IPhone 17 256 Go")",A,price,2026-02-01T20:31:09.391Z,154,3510
P_27729,"A ("IPhone11")",A,price,2026-02-01T20:31:20.689Z,195,3205
