Participant,Element,Tag,Reason,Timestamp,X,Y
P_81693,"A ("Iphone X 256Go HS")",A,price,2026-02-01T10:50:14.977Z,298,2125
P_81693,"A ("IPhone 17 256 Go")",A,photo,2026-02-01T10:50:28.136Z,348,3462
P_81693,"A ("Iphone 15 Pro Max 256gb")",A,photo,2026-02-01T10:50:36.459Z,293,4038
