Participant,Element,Tag,Reason,Timestamp,X,Y
P_87513,"Link/Ad",A,seller,2026-02-01T09:25:01.321Z,409,1000
P_87513,"Link/Ad",A,seller,2026-02-01T09:25:12.414Z,410,728
P_87513,"A ("IPhone 15 pro Max")",A,seller,2026-02-01T09:25:32.545Z,458,6259
