Participant,Element,Tag,Reason,Timestamp,X,Y
P_17201,"BUTTON ("Annonce retirée des favoris")",BUTTON,title,2026-02-01T10:43:22.382Z,325,908
P_17201,"A ("IPhone 14 Pro 256go")",A,photo,2026-02-01T10:45:21.946Z,484,9482
P_17201,"A ("IPhone 14")",A,price,2026-02-01T10:45:38.842Z,630,5886
