Participant,Element,Tag,Reason,Timestamp,X,Y
P_88136,"A ("IPhone 13 Pro t")",A,photo,2026-02-01T16:14:52.995Z,327,1556
P_88136,"A ("Iphone 15 Pro Max 256gb")",A,photo,2026-02-01T16:15:11.854Z,304,4042
P_88136,"A ("S24 ultra")",A,title,2026-02-01T16:15:36.431Z,315,8202
